OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00072570,E01014371,72,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,2,4,4,3,3,2,0,2,0,1,3,1,1,1,0,0,0,2,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,2,0,1,0,2,0,1,1,1,1,2,1,0,0,0,1,1,0,2,2,0,2,0,0,3,1,0,2,1,0,0,0,1,0,1,1
E00072571,E01014371,75,0,1,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,1,1,0,0,2,5,4,6,0,1,1,1,2,1,1,2,2,3,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,3,1,1,0,1,0,2,1,0,2,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,1
E00072575,E01014371,267,1,3,4,3,1,3,1,0,0,1,0,2,1,1,0,0,2,0,1,9,12,19,11,23,20,15,5,10,8,3,9,7,6,10,7,3,5,2,1,2,3,3,2,4,2,1,2,2,1,1,4,2,2,3,2,0,0,3,1,2,0,2,0,0,0,0,1,0,1,1,1,3,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0
E00072581,E01014371,103,0,0,2,1,1,1,0,1,2,1,3,0,1,0,0,1,0,0,1,0,0,2,4,8,2,3,4,2,2,1,1,0,2,1,3,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,4,1,2,2,1,1,1,0,0,2,0,1,2,1,1,1,1,1,0,0,2,4,1,0,0,0,1,0,2,1,0,0,3,3,1,0,1,0,0,4
E00072586,E01014371,92,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,2,3,0,8,6,5,7,5,1,2,2,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,2,1,2,1,1,1,1,0,0,3,1,1,3,3,0,2,0,0,0,2,0,1,1,0,1,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1,0,1
E00072566,E01014372,156,0,0,0,0,0,0,1,1,2,1,0,2,0,0,0,0,0,2,1,0,6,5,7,7,11,5,3,6,5,2,3,4,5,6,5,2,2,4,3,2,0,2,1,1,2,1,2,1,3,3,1,2,3,3,1,1,2,1,2,0,0,1,0,0,1,2,1,2,0,1,0,1,2,1,1,0,1,1,0,1,1,0,1,0,0,0,2,0,0,0,1
E00072577,E01014372,113,1,1,1,0,0,1,0,0,0,1,1,0,1,2,0,0,1,0,0,1,2,1,5,5,9,3,2,5,11,7,6,0,2,5,2,4,1,1,2,4,0,0,1,2,1,0,1,3,1,0,3,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0
E00072579,E01014372,104,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,1,0,5,5,0,7,3,6,2,3,5,0,3,2,3,5,4,3,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,2,3,1,0,1,1,1,1,0,0,0,1,0,0,0,2,3,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0
E00072580,E01014372,142,2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,2,7,15,8,8,4,5,4,16,3,3,3,3,5,1,2,1,0,2,1,2,0,0,2,0,0,0,1,1,1,2,1,2,2,1,1,1,3,1,1,1,3,2,1,1,2,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
E00072582,E01014372,95,0,0,2,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,1,2,0,5,4,6,3,1,3,3,4,4,4,0,1,3,2,0,1,1,2,0,1,0,1,1,2,0,2,0,0,2,0,2,1,1,0,1,3,1,2,1,0,1,1,1,1,0,1,1,1,3,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
