OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00072579,E01014372,119,2,3,0,2,0,2,0,0,0,2,1,0,0,2,2,0,0,0,1,0,0,4,6,7,6,4,3,4,1,2,1,2,4,5,1,2,1,4,1,1,1,1,3,0,2,2,0,0,2,2,0,0,2,2,1,1,1,1,2,3,0,1,3,0,0,0,2,1,0,4,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
E00072580,E01014372,101,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,3,8,4,10,5,3,1,2,2,1,1,2,3,1,3,1,4,1,3,0,1,1,2,0,1,0,1,1,1,0,1,1,2,2,0,2,0,0,1,0,0,2,1,1,1,3,1,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1
E00072582,E01014372,91,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,2,4,10,4,2,6,2,0,0,0,1,3,1,3,1,4,2,1,2,1,2,0,0,2,2,1,2,0,1,1,3,0,0,1,0,1,0,0,0,0,1,2,0,0,3,2,1,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1
E00072583,E01014372,111,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,4,1,1,4,6,0,3,2,4,0,3,0,1,0,0,1,1,1,3,1,0,1,0,3,1,2,2,1,1,0,1,3,2,2,3,0,3,1,3,3,2,0,3,0,2,1,1,3,0,2,3,3,0,1,2,2,1,0,1,0,0,3,1,4,0,0,0,0,0,0,2
E00072584,E01014372,103,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,2,3,4,3,6,5,5,4,4,3,1,3,1,1,3,1,2,2,0,0,0,0,1,1,0,2,1,2,0,0,2,1,0,1,1,2,0,2,3,1,2,1,0,2,3,1,0,1,3,2,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
E00072585,E01014372,110,2,0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,1,4,6,6,2,3,3,5,1,1,1,1,3,1,3,1,1,1,1,2,3,3,2,2,1,0,1,1,1,3,2,0,2,0,0,1,2,4,1,1,1,2,1,1,1,1,3,1,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,2,0,1,2
E00072587,E01014372,108,2,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,3,1,3,3,3,1,3,2,3,2,1,1,2,1,1,2,1,1,0,2,2,1,0,2,0,4,1,2,3,1,3,4,2,0,3,3,1,1,1,0,1,0,4,1,1,0,2,2,2,1,1,0,2,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,4
E00072594,E01014373,159,2,1,0,1,2,1,2,2,0,0,0,1,3,1,0,2,1,3,2,1,0,2,3,3,1,2,1,1,2,0,2,2,3,0,2,5,4,3,1,2,4,4,1,7,1,4,4,4,0,2,8,6,2,2,2,2,1,2,1,1,2,1,3,5,2,1,1,0,1,1,2,2,0,0,1,3,2,0,0,1,2,0,0,2,0,0,1,0,0,0,4
E00072595,E01014373,170,1,2,2,3,2,1,4,3,1,2,3,2,2,7,3,1,1,0,1,4,0,2,2,1,0,2,2,1,1,1,1,2,4,2,2,0,5,2,4,1,4,1,3,4,3,3,2,4,4,3,2,6,1,2,5,2,4,1,2,1,5,1,2,2,0,2,0,1,0,0,0,0,3,1,0,0,1,0,1,0,1,1,2,2,1,0,3,0,4,0,0
E00072597,E01014373,160,2,1,1,3,2,2,5,6,1,3,3,3,0,0,1,2,2,4,2,1,0,2,4,0,0,1,1,1,2,3,0,2,1,1,3,3,1,2,1,5,2,3,3,3,5,2,3,0,6,2,3,2,2,2,3,2,4,1,0,1,0,2,1,2,0,0,1,4,4,2,2,1,1,0,2,0,1,1,1,3,0,0,1,0,3,0,1,0,0,1,0
